"ID","Title","StatisticalMeasurementUnitID","CustomsTariffEnglishCalculationReference","PurchaseTaxOptionalTaxAddition","EnglishGoodsDescription","PurchaseTaxCalculationReference","CustomsTariffCalculationReference","StatisticalMeasurementUnitName","CustomsItemID","GoodsDescription","EnglishFullTitle","PurchaseTaxEnglishCalculationReference","FullTitle","StatisticalMeasurementUnitEnglishName","FullClassification"
"565","פיאות נוכריות","6","Tax Free","","--COMPLETE WIGS","פטור","פטור","קילוגרם","2831","פיאות נכריות שלמות"," =>  => wigs","Tax Free","אופנה וטיפוח => תכשירי טיפוח וקוסמטיקה => פיאות נוכריות","Kilogram","6704110000/8"
"536","רחפן ","1","Tax Free","","Balloons and dirigibles; gliders, hang gliders and other .non-powered aircraft","פטור","פטור","כל אחד","2877","כדורים פורחים וספינות אויר (DIRIGIBLE); דאונים, גלשני אויר (HANG GLIDERS)
וכלי טייס אחרים שאינם מופעלים בכוח","drone","Tax Free","רחפן ","Each","8801000000/3"
"248","סוללות למצלמות","1","","","---OTHERS","פטור","פטור","כל אחד","2912","אחרים"," =>  => Camera batteries","Tax Free","חשמל ואלקטרוניקה => מצלמות וציוד צילום => סוללות למצלמות","Each","8507809000/9"
"132","עדשות מגע","1","Tax Free","","-CONTACT LENSES","פטור","פטור","כל אחד","2963","עדשות מגע"," =>  => ","Tax Free","בריאות ורפואה => אופטיקה => עדשות מגע","Each","9001300000/6"
"357","ברזים למים בבית","6","","","---TAPS WITH A MECHANISM FOR MIXING HOT AND COLD WATER, OPERATED BY ONE HANDLE","פטור","פטור","קילוגרם","3103","ברזים עם מנגנון לעירבוב מים קרים וחמים המופעלים בידית אחת"," =>  => Faucets for water","Tax Free","לבית, לגן ולמשרד => אביזרי אינסטלציה וסניטציה => ברזים למים בבית","Kilogram","8481803000/3"
"575","ברזים","6","","","---TAPS WITH A MECHANISM FOR MIXING HOT AND COLD WATER, OPERATED BY ONE HANDLE","פטור","פטור","קילוגרם","3103","ברזים עם מנגנון לעירבוב מים קרים וחמים המופעלים בידית אחת","TAPS","Tax Free","ברזים","Kilogram","8481803000/3"
"570","ברזים","6","","","---TAPS WITH A MECHANISM FOR MIXING HOT AND COLD WATER, OPERATED BY ONE HANDLE","פטור","פטור","קילוגרם","3103","ברזים עם מנגנון לעירבוב מים קרים וחמים המופעלים בידית אחת","Taps","Tax Free","ברזים","Kilogram","8481803000/3"
"571","ברזים","6","","","---TAPS WITH A MECHANISM FOR MIXING HOT AND COLD WATER, OPERATED BY ONE HANDLE","פטור","פטור","קילוגרם","3103","ברזים עם מנגנון לעירבוב מים קרים וחמים המופעלים בידית אחת","Taps","Tax Free","ברזים","Kilogram","8481803000/3"
"312","שמשות ביטחון לרכב","6","12.00% ","60.000","----OTHER","שיעור 12.00% ","שיעור 12.00% ","קילוגרם","3125","אחרות"," => helmet => ","12.00% ","כלי רכב ואביזרים => אביזרי מיגון => שמשות ביטחון לרכב","Kilogram","7007119900/7"
"140","מכשיר אדים","1","","","---OTHERS","פטור","פטור","כל אחד","3188","אחרים"," =>  => Humidifier","Tax Free","בריאות ורפואה => ציוד רפואי => מכשיר אדים","Each","8509809000/5"
